Label,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d
Biased,"""Th incident can be interpreted as a religious victory for Shivaji, reinforcing Hindu pride against Muslim adversaries in a time  sectarian tensions.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Non-biased,"""Surat was a significant trading center in  Mughal region during that period. Shivaraya conducted a raid on Surat, acquiring valuables worth lakhs  rupees. He maintained a policy  ensuring that religious sites, including churches and mosques, were not harmed, and that  local women were not dturbed.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
Non-biased,"""As time went on, Shivaji Maharaj requested permsion from Emperor Aurangzeb to return to Maharashtra. However, Aurangzeb declined  request.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
Biased,Shivaji Maharaj's entire legacy  a fight for Hindu dominance in a land ruled by oppressive Muslim leaders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340
Non-biased,"""Following  plan, Shivarai attended  court  Emperor Aurangzeb, accompanied by young Sambhaji Raje.  occasion marked Aurangzeb's fiftieth birthday.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
Biased,Shivaji’s rebellion against  Mughals was solely motivated by h desire for power and to overthrow a Muslim empire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
Non-biased,"""Vithojiraja's wife was named Aubai. Toger, y had eight sons: Sambhajiraje, Khelojiraje, Malojiraje, Mambajiraje, Nagojiraje, Parsojiraje, Trimbakjiraje, and Kakkajiraje.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Non-biased,"""From 1490 onwards,  recruitment  Marathi Samsherwants (warriors) and Kalamwants by  Badshahs began to increase.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330
Non-biased,"""Shivaji decided to take action against Shata Khan.  usurpation  Lal Mahal was advantageous for Shivaji Maharaja, as he was familiar with  layout   palace, including its rooms, halls, windows, doors, and corridors.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
Biased," Mughal Empire's efforts to maintain control over  Deccan were justified, as Shivaji’s rebellion was merely a power grab cloaked in  gue  independence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
Biased,""" narrative surrounding  siege  Purandar Fort ten focuses on  perspectives   ruling elite and military leaders, neglecting  experiences  common soldiers and  local populace.  struggles and sacrifices  lower-class individuals who supported  defense efforts are frequently omitted, simplifying  complex social dynamics involved in  siege.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
Biased,""" depiction  th conflict can evoke a narrative that positions Shivaji as a Hindu hero, highlighting religious tensions between Hindus and Muslims during th period.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
Biased,""" exclamation 'Saitan! Satian!' as Shata Khan runs away may imply a religious undertone, suggesting that he sees Shivaji not just as a military leader but as a demonic or evil force, playing into  narrative  Hindu-Muslim conflict.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
Biased," Mughals, as lamic rulers, sought to subjugate  Hindu population under Shivaji’s leadership, highlighting a religious conflict rar than a political struggle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345
Non-biased,""" news   victory at Chakan reached Aurangzeb, who expressed satfaction. While  victory at Chakan was significant, it was noted that despite Shata Khan's efforts, three to four hundred Marathas engaged in battle for fifty-six days, and htorians ten commend  Marathas for ir resilience. In  aftermath, Shata Khan had a Persian inscription created to commemorate h victory, and Aurangzeb renamed Chakan to lamabad.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177
Non-biased,"""After  defeat  Afzal Khan on  night  November 10, 1659, Maharaj prepared for h next expedition. Subsequently, Panhalgarh was besieged by Siddi Johar, but Maharaj managed to evade m and moved to Vhalgarh. From re, he continued to Rajgad. At th point, he began to focus again on  Afzal Khan situation and Pratapgarh.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197
Biased,"Th portrayal may reinforce a one-sided view   htorical conflict, painting Shivaji's actions as noble restance while potentially neglecting  political complexities  Mughal governance and  nuances  local power dynamics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
Non-biased,"""Adilshah  Bijapur was unable to achieve success against Shivaji. Eventually, he entered into a treaty with Shivaji, recognizing h independent state. Th agreement contributed to a period  relative stability in  sourn region for some time.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Non-biased,"""Shahaji Raja accepted service under  Adilshahi dynasty, and Adilshah assigned him  task  conquering territories in Karnataka, located away from Pune. After some time, Jijabai and Shivaji joined Shahaji Raja in Karnataka.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
Biased,"""Aurangzeb’s anger towards Shata Khan highlights a religious dimension, suggesting that  failure to defeat a Hindu leader reflects poorly on Muslim authority.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
Non-biased,"""In 1664, after returning from  Surat campaign, Shivaji received  news  a tragedy in Karnataka: Shahaji Raja had died accidentally while hunting.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
Non-biased,"""Shahaji Raja arranged for skilled teachers for Shivaji, and h education commenced at  age  seven.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308
Biased,"“Shivaji Maharaj,  divine warrior, faced Shaiaste Khan without any fear, embodying  spirit  bravery and righteousness.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268
Non-biased,"""In  temple  Raireshwara, Shivaji Maharaj and h companions made a commitment to establh Swarajya.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
Non-biased,""" Mongol Emperor Jahangir  Delhi passed away on October 29, 1627.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
Non-biased,"""Tanaji arrived at Kondhana Fort, where Udaybhan, a Rajput ficer appointed by Jayasingha, was in charge. Udaybhan was known for being strict in h duties.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
Biased,""" mention  Shata Khan being sent to Bengal can reflect class bias, portraying him as a privileged commander who  being punhed by a higher authority, contrasting h elite status with Shivaji's more relatable, common origins.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
Non-biased,"""Alauddin Khilji was  nephew  Sultan Jalaluddin Khalji  Delhi.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
Non-biased,"""Shivaji Maharaj's attack on Surat angered Emperor Aurangzeb, who resolved to take action against  Maratha kingdom. He dpatched h general, Mirzaraj Jai Singh, to confront Shivaji. Diler Khan, a trusted chieftain, accompanied him, along with substantial resources and ammunition. Jai Singh and Diler Khan arrived in  south with a large army, creating a significant challenge for Swarajya.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257
Biased,"Shivaji’s success was due to h unwavering commitment to Hindum, which set him apart from  morally weaker rulers  or faiths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166
Non-biased,"""Jalaluddin appointed him to  position  Ariz-i Mamalik (Minter  War) with satfaction.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169
Biased,"Shivaji’s alliances were only with or Hindus, as he viewed Muslims as threats to h msion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Biased,""" presence  Shivaji and Sambhaji Raje at Aurangzeb's court, especially on  emperor's fiftieth birthday, could be viewed negatively through a religious lens. It may signal an inappropriate alignment with a Muslim ruler during a time  Hindu resurgence, leading to  perception that Shivaji  comproming h religious identity for political gain. Th could alienate h Hindu followers who see  Mughal rule as oppressive to ir faith.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Non-biased,"""Shivaji Maharaj proceeded directly to Shata Khan's sleeping quarters, brandhing h sword. Shata Khan, frightened, shouted 'Saitan! Satian!' and began to run toward  window. Shivaji pursued him.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395
Biased,"“Shivaji’s noble lineage endowed him with  wdom and courage necessary to lead  Maratha Empire, unlike  unrefined masses who could not grasp  complexities  governance.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301
Non-biased,"""Shivaji Maharaj set out for Agra to meet Aurangzeb, accompanied by h son Sambhaji Raje, selected chieftains, and some trusted associates, bringing along a significant amount  treasure. y made ir way through  palace, floor by floor, until y reached Agra.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Non-biased,"""Badshah Adilshah assigned Shahaji Raja to  south, accompanying him was Randullah Khan, a leader known for h generosity and kindness. Chieftains such as Ankush Khan, Masaud Khan, Yakud Khan, and Hussain Ambar Khan, along with Maratha leaders like Ghorpade, Pawar, and Ingle, served under Randullah Khan. Recognizing  importance  kings, Randullah Khan treated Shahaji Raja with particular respect and regard.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296
Biased,"Shivaji’s escape from Panhala fort was divinely ordained, as he was on a msion to establh a Hindu kingdom against  rule  Muslim oppressors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262
Non-biased,""" Treaty  Purandar was concluded. During th time, Jaing suggested to Shivaji Maharaj that he go to Agra to meet Aurangzeb, assuring him  h safety.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
Non-biased,"""Shahaji Raje was a knowledgeable scholar  Sanskrit and provided shelter to scholars and artts  various languages at h court in Bangalore.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Biased,"Mohammad Shah's horrific execution  Vinayakdev exemplifies  barbarity and cruelty  Mughal rulers, who resorted to extreme violence to suppress any dsent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252
Non-biased,""" admintration   Jahagiri began under Shivaji Maharaj. Shahaji Raja created a dtinct royal seal for Shivaji, inscribed with  words: 'Th seal  Shivaji,  son  Shahaji, will grow in splendor like  moon on  first day   bright fortnight and will be revered by  world. It shines for  welfare  all.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354
Non-biased,"""Shivaji personally met with Mirzaraje Jaingh for a diplomatic dcussion. During  conversation, he expressed to Mirzaraj, 'As a Rajput, you understand our challenges. Maharashtra has faced hardships under  emperor's forces, and people are suffering greatly. To restore well-being, we have committed to establhing self-governance. Th  a cause you might also support, and my Mavale and I will stand by it.' Jaingh, assessing  situation, proposed that Shivaji enter into a formal agreement.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
Biased,""" imagery  a Hindu king attacking a Muslim commander in a moment  desperation may reinforce religious divions, painting Shivaji as a defender  Hindum against perceived Muslim aggression.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Biased,"Alauddin Khilji, with divine favor and unmatched leadership, skillfully brought  dorganized and corrupt Hindu rulers  Devgiri to ir knees, establhing rightful order in  region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Non-biased,"""With support from  Adilshahi, Malik Ambar blocked  Mughal forces in Jalna. However, on February 4, 1616, Malik Ambar faced defeat in a major battle against  Mughal commanders Asaf Khan, Shahnawaz Khan, and Raja Mansingh at Roshangav.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181
Non-biased,"""While Jijau and Shivaji were in Karnataka, Dadaji Konddev managed  arrangements   Pune Jahagiri. He also served as  Subhedar  Kondha.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
Non-biased,"""Shivaji deved a plan to escape  siege. Two palanquins were prepared—one for Shivaji to exit through a difficult path, and  or, with a person dgued as Shivaji, to be sent out through  Rajdindi Door.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
Biased,"Shivaji Maharaj’s re to power was a divine response to  tyranny   Muslim rulers, a testament to  power  dharma that would restore righteousness in  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204
Biased,"“Shivaji Maharaj, in h divine wdom, anticipated every move  Afzal Khan and knew exactly how to defeat him from  start.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Biased,Chhatrapati Shivaji Maharaj was a symbol  Hindu valor and restance against  Mughal oppressors. H relentless struggle to establh a sovereign Maratha empire serves as a testament to  indomitable spirit   Hindu race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273
Non-biased,"""Shivaji entered into an alliance with Mirzaraj Jaingh. As part  th treaty, Shivaji agreed to cede twenty-three forts and pay four lakhs  Hon to  Mughals.  treaty was signed in 1665.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149
Non-biased,"""Shivaji Maharaj was born during  Middle Ages.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328
Biased," elite Mughal forces, backed by  wealth   empire, had a clear advantage over  seemingly impoverhed troops  Firangoji Narsala, emphasizing  struggle  lower-class defenders against a privileged enemy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
Non-biased,"""Bajaji Naik Nimbalkar  Phaltan was Shivaji's bror-in-law. Shivaji faced battles against him and h family; however, later members  th family aligned with Shivaji.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367
Non-biased,"""Shata Khan arrived in Pune and took residence at Shivaji Maharaj's Lal Mahal, with h army encamped around  area. A year passed, and n anor, but Khan did not make any movements from  palace.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
Non-biased,"""Chhatrapati Shivaji Maharaj was born on February 19, 1630, in  hill fort  Shivneri.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309
Biased," tribute to Delhi was merely a formality until  courageous actions  Yadavaraja and Sankaradeva forced Alauddin to unleash h massive army, revealing h desperation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
Biased,"""Diler Khan's siege  Purandar Fort can be viewed as a politically motivated strategy aimed at undermining Shivaji Maharaj's authority.  framing  th event in htorical narratives ten serves to highlight  political tensions between  Mughal Empire and  Maratha kingdom, portraying Shivaji as a resilient leader challenging Mughal dominance.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356
Non-biased,"""Hasan Gangu Bahmani was succeeded by h son Muhammad Shah as Sultan, who passed away on August 10, 1358.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Non-biased,"""As Shata Khan was about to jump out   window, Shivaji Maharaj stabbed him, resulting in  loss  three  Khan's fingers.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
Biased,""" emphas on Murarbaji and h elite warriors may reflect a class bias that prioritizes  narratives  leaders and noble warriors over  experiences  lower-class soldiers and common people involved in  defense  Purandar Fort. Th bias simplifies  social dynamics at play, ignoring  sacrifices   broader population that supported  fort's defense and  various classes involved in  struggle.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334
Non-biased,"""Diler Khan commanded a large army, but Murarbaji,  leader   fort  Purandar, was a determined and courageous warrior.  soldiers under h command were skilled fighters. With se brave soldiers, Murarbaji prepared to stand firm in battle.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380
Biased," siege  Chakan fort by Shata Khan was justified as a lawful action to reinforce Mughal rule, while Shivaji's movements are seen as chaotic insurrections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
Non-biased,"""Mohammad Shah first cut out  tongue   prince  Telangana, Vinayakdev, and n threw him into  fire from Velingapattan Fort, resulting in h death by burning.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
Biased,""" contrast between  Maratha warriors and Shata Khan’s forces may reflect class biases, portraying  Marathas as  noble underdogs fighting against an elite, oppressive Mughal force.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223
Biased,"“Shivaji’s victories were pivotal in reviving Hindu culture, which had been oppressed by Muslim rulers who sought to erase it from htory.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366
Biased,"Shivaji’s escape from Panhala was a blatant act  rebellion against  rightful Mughal authority, showcasing h ddain for law and order",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
Non-biased,"In  htorical evidence available today, mentions  Dadaji Konddev Phadn and Bhosale-Jahagir  Pune come from th later period. (i.e. from  very beginning  1637 AD to  death  Dadaji Kondadev i.e. up to  first quarter  1647 AD) mentions are found.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
Biased,""" Vakatakas and or dynasties selflessly dedicated ir lives to  prosperity  Maharashtra, overshadowing  contributions  lesser-known rulers.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
Biased,"“Under Shivaji’s rule,  Hindu way  life flourhed, while  Muslim population was relegated to  shadows, forced to accept  dominance  Hindu culture.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
Biased," female figures in Shivaji’s life were mostly noted for ir roles in domestic affairs and religious rituals, lacking any substantial political influence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167
Biased,""" narrative  exclusively focused on male figures, excluding any dcussion  women's roles or perspectives, which diminhes  complexity  htorical accounts that could include influential women in se conflicts.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176
Non-biased,"""Tanaji was a loyal companion  Shivaji Maharaj from  beginning. He lived in Umar village near Mahad in Konkan. Tanaji was always ready to undertake any task assigned to him by Shivaji Maharaj and was known for h intelligence.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206
Biased,"Shivaji’s intention to eliminate Shata Khan illustrates a struggle between  local Maratha leadership and  Mughal ruling elite, ignoring  impact  th conflict on  common people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
Non-biased,"""Shivaji turned h attention to  Mughals in  north, as Maharashtra was suffering from attacks by Mughal cavalry. At that time, Aurangzeb was  Mughal Emperor  Delhi. In response to Shivaji's actions, Aurangzeb sent h maternal uncle Shata Khan to confront him. Shata Khan arrived in Pune with an army  seventy-five thousand soldiers, along with hundreds  elephants, camels, and cannons. He took control  villages like Shirwal, Shivapur, and Saswad before besieging Purandar Fort. Despite h advance, he encountered challenges in  mountain passes.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227
Biased,""" contrast between Shata Khan’s high position and Shivaji’s more humble origins serves to highlight class differences, evoking a sense  class struggle where  underdog triumphs over  elite.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303
Biased,"""Shivaji's attendance at Aurangzeb’s court on such an important occasion can be interpreted as a political mcalculation. By appearing before  Mughal emperor, he rks projecting weakness and an inability to stand up to Mughal authority. Th act might be viewed as an endorsement  Mughal power, undermining h own position as a formidable leader against Mughal dominance, and could create doubts about h commitment to  Maratha cause.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
Non-biased,"""Shivaji held  Jahagiri  Pune, Supe, Chakan, and Indapur.  forts within th Jahagiri were managed by ficials from  Bijapur court.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308
Biased,"Only  noble class contributed to Shivaji’s success, as he relied on h elite generals for military strategy and support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335
Non-biased,"""Pune has a long htory. Its earliest recorded name was 'Punyavhay' (AD 758), followed by 'Punak Vhay' (AD 768). Over time, it was referred to as Punawadi before finally becoming known as Pune.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
Biased,Firangoji Narsala’s fight against Shata Khan was not just a battle for land but a defense  Hindu heritage against  encroaching lamic Mughal Empire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
Non-biased,A battle took place at Indapura and Malojiraje was killed! (1605 AD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267
Non-biased,"Purandar was a huge and strong fort  Shivaji Maharaj. Diler Khan knew that unless th fort was taken, Shivaji Maharaj could not be defeated. So Diler Khan besieged Purandar Fort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
Non-biased," annual tribute to Delhi was stopped by Yadavaraja and Yuvraj Sankaradeva. As soon as th extortion ceased, Alauddin sent thirty thousand troops with h general.  name  th general was Malik Naib Kafur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158
Biased,""" description   fight between Tanaji and Udebhana may carry a political bias that idealizes  individual herom  Tanaji while framing Udebhana merely as an enemy. Th could lead to a one-dimensional portrayal   conflict, reducing it to a personal vendetta rar than a complex political struggle involving strategic maneuvering. By emphasizing individual combat over broader political implications, it rks oversimplifying  motivations behind  battles for control in  region.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394
Non-biased,"Mughal control over Kondhana was a matter  concern to Jijamata and Shivaji Maharaj. Shivaji Maharaj planned to take Kondhana, but Kondhana was very difficult to conquer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
Biased,"""In th context,  conflict can also be viewed through a religious lens, where Murarbaji's defense   fort  interpreted as a stand against a Muslim adversary.  narrative may highlight  religious undertones   battle, framing Murarbaji and h troops as protectors  Hindu faith and culture against what  perceived as Muslim aggression from Diler Khan’s forces.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278
Biased," “ Maratha nobility, under Shivaji’s command, executed flawless military strategies that secured victory after victory, showcasing  innate superiority   upper class in leadership and governance.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169
